scenario_id,outcome_availability,maturity_status,evidence_status,performance_calculated,evidence_type,roc_auc,observed_default_rate,performance_severity,calibration_severity,alert_generated
SIM-M01,NOT_AVAILABLE,NOT_APPLICABLE,NOT_ASSESSABLE,False,N/A,,,N/A,N/A,False
SIM-M02,NOT_AVAILABLE,NOT_APPLICABLE,NOT_ASSESSABLE,False,N/A,,,N/A,N/A,False
SIM-M03,NOT_AVAILABLE,NOT_APPLICABLE,NOT_ASSESSABLE,False,N/A,,,N/A,N/A,False
SIM-M04,NOT_AVAILABLE,NOT_APPLICABLE,NOT_ASSESSABLE,False,N/A,,,N/A,N/A,False
SIM-M05,NOT_AVAILABLE,NOT_APPLICABLE,NOT_ASSESSABLE,False,N/A,,,N/A,N/A,False
SIM-M06,AVAILABLE,MATURED,ELIGIBLE_SYNTHETIC,True,SYNTHETIC_SCENARIO_EVIDENCE,0.5580179932881751,0.13700147710487445,N/A,N/A,False
