scenario_id,artifact_id,authorization_status,evidence_scope,evidence_type,open_alert_count,critical_alert_count,warning_alert_count,overall_model_health
SIM-M01,SIM-M01-SCENARIO-01,AUTHORIZED,LABEL_FREE_ONLY,MONITORING_EVIDENCE,46,3,43,CRITICAL
SIM-M02,SIM-M02-SCENARIO-01,AUTHORIZED,LABEL_FREE_ONLY,MONITORING_EVIDENCE,46,3,43,CRITICAL
SIM-M03,SIM-M03-SCENARIO-01,AUTHORIZED,LABEL_FREE_ONLY,MONITORING_EVIDENCE,66,3,63,CRITICAL
SIM-M04,SIM-M04-SCENARIO-01,AUTHORIZED,LABEL_FREE_ONLY,MONITORING_EVIDENCE,63,5,58,CRITICAL
SIM-M05,SIM-M05-VALID-DEGRADED-01,AUTHORIZED,LABEL_FREE_ONLY,MONITORING_EVIDENCE,50,3,47,CRITICAL
SIM-M06,SIM-M06-SCENARIO-01,AUTHORIZED,FULL_OUTCOME_ELIGIBLE,SYNTHETIC_SCENARIO_EVIDENCE,56,7,49,CRITICAL
SIM-M05,SIM-M05-SOURCE-LOSS-DIAGNOSTIC-01,BLOCKED_SOURCE_GOVERNANCE,NOT_ASSESSABLE,CONTROL_QUALIFICATION_EVIDENCE,1,1,0,NOT_ASSESSABLE
SIM-M05,SIM-M05-HARD-FAIL-01,BLOCKED_HARD_GATE,NOT_ASSESSABLE,CONTROL_QUALIFICATION_EVIDENCE,1,1,0,NOT_ASSESSABLE
